"award","projname","projectnmbr","dateofaward","lgid","program","county"
"25000","Adams County Comp Plan","00193","14-MAR-12","01001","CHPG","Adams"
"300000","Adams County Clay Street Drainage","07098","17-APR-13","01001","EIAF","Adams"
"3000","Bennett Community Assessment","07166","14-FEB-13","64258","EIAF","Adams"
"130000","Brighton Baseline Road & Main Street Signal","07185","06-JUN-13","64029","EIAF","Adams"
"358000","Berkeley W&S District Waterline Construction","07215","14-AUG-13","64020","EIAF","Adams"
"35000","Adams County Best & Brightest Intern","07351","27-NOV-13","01001","EIAF","Adams"
"35000","Brighton Best & Brightest Intern","07427","10-DEC-13","64029","EIAF","Adams"
"25000","Bennett Land Use Code Update","07432","13-JAN-14","64258","EIAF","Adams"
"75000","Brighton Community Center Renovation","07457","11-JUN-14","64029","EIAF","Adams"
"95500","Bennett Shared County Service Center","07672","24-FEB-15","64258","EIAF","Adams"
"25000","Bennett Water & Wastewater Utility Study","07785","26-FEB-15","64258","EIAF","Adams"
"349986","Adams County Imboden Road Improvements","07839","05-AUG-15","01001","EIAF","Adams"
"234140","Bennett Wastewater Treatment Facility Imp. Plan & Design","07841","05-AUG-15","64258","EIAF","Adams"
"24995","Bennett Design Guidelines & Zoning Map Updates","08006","15-JUN-15","64258","EIAF","Adams"
"564500","Hi-Land Acres W&S District Wastewater Lagoon Improvements","08044","08-DEC-15","01011","EIAF","Adams"
"2000000","Greater Brighton FPD Fire Station 52","08075","08-DEC-15","64028","EIAF","Adams"
"1000","Westminster Cyber Security Symposium Scholarship","08593","06-DEC-17","64153","EIAF","Adams"
"40000","Adams County Best & Brightest Intern 2016-2017","09047","23-NOV-15","01001","EIAF","Adams"
"87500","Lochbuie Comp. Plan & Development Code Updates","09058","24-FEB-16","62038","EIAF","Adams"
"975000","Brighton Historic City Hall HVAC Upgrade","09097","04-APR-16","64029","EIAF","Adams"
"414884",NA,"12-ADAM","01-MAR-12",NA,"CSBG","Adams"
"430432","Bennett Wastewater Treatment Facility Improvements","08304","05-DEC-16","64258","EIAF","Adams"
"514185","Bennett WW Treatment Dewatering Equipment","08397","04-MAY-17","64258","EIAF","Adams"
"92750","Bennett Town Hall Security System","08509","20-OCT-17","64258","EIAF","Adams"
"46000","Bennett Best and Brightest Intern 2018-2019","08599","07-DEC-17","64258","EIAF","Adams"
"125000","Bennett Fiscal Stability Plan","08607","28-FEB-18","64258","EIAF","Adams"
"46000","Adams County Best and Brightest Intern 2018-2019","08672","07-DEC-17","01001","EIAF","Adams"
"700000","Brighton Historic Depot Rehabilitation and Adaptive Reuse","08728","31-JUL-18","64029","EIAF","Adams"
"800000","Lochbuie WWTP Improvements","08648","27-MAR-18","62038","EIAF","Adams"
"80320","Strasburg WSD Well Improvements","08611","28-FEB-18","64136","EIAF","Adams, Arapahoe"
"300000","Alamosa Co. Children's Advocacy Center of the SLVCAC","13-504","30-AUG-13","02001","CDBGPF","Alamosa"
"367536","Arapahoe County 2015-2018 (L15CSBG03)","15-ARAP","01-MAR-15",NA,"CSBG","Arapahoe"
"367536","Arapahoe County 2015-2018 (L15CSBG03)","15-ARAP","01-MAR-15",NA,"CSBG","Arapahoe"
"99597","CSBG03-Arapahoe County 2018-2021 (L18CSBG03)","18-ARAP","30-SEP-17",NA,"CSBG","Arapahoe"
"368650",NA,"12-ARAP","01-MAR-12",NA,"CSBG","Arapahoe"
"100000","Arapahoe County South Brick Center Road Improvements","07364","18-FEB-14","03001","EIAF","Arapahoe"
"160000","Strasburg W&S District Colfax Water Line Replacement","07365","18-FEB-14","64136","EIAF","Arapahoe"
